model,model_id,compute_unit,hardware_target,load_latency_ms,inference_mean_ms,inference_p50_ms,inference_p95_ms,inference_p99_ms,accuracy,peak_memory_mb,max_batch_size,power_mw,energy_per_inference_mj,model_size_bytes,n_runs,profiled_at
yolo,yolo_v8,CPU,qcs6490,197.32291001128033,86.9718046975322,81.4031679474283,110.35577258153353,117.39623850036877,1.0,393.33203125,1,115866.135,10077.0868642779,267445,20,2026-04-14T06:52:06.778144+00:00
yolo,yolo_v8,GPU,qcs6490,2975.5557609605603,206.30477500671986,210.1781264937017,218.1401137553621,218.39577395119704,0.0,628.53125,1,115866.135,23903.73691207323,267445,20,2026-04-14T06:52:16.993254+00:00
yolo,yolo_v8,NPU,qcs6490,1085.0399790215306,37.246700454852544,37.17982000671327,37.68951455131173,37.75874373503029,0.0,698.0234375,1,115866.135,4315.631223206507,267445,20,2026-04-14T06:52:20.184083+00:00
