model,model_id,compute_unit,hardware_target,load_latency_ms,inference_mean_ms,inference_p50_ms,inference_p95_ms,inference_p99_ms,accuracy,peak_memory_mb,max_batch_size,power_mw,energy_per_inference_mj,model_size_bytes,n_runs,profiled_at
mobileclip,mobileclip_s2,CPU,qcs6490,175.87988602463156,1201.7592636984773,1201.571902493015,1219.5348506735172,1220.0703565019649,1.0,951.19140625,1,115866.135,139243.20108518837,396881784,20,2026-04-14T06:57:20.642885+00:00
mobileclip,mobileclip_s2,GPU,qcs6490,4764.37825197354,221.86526285368018,222.40863149636425,224.5144221407827,227.0314076251816,nan,1059.26171875,1,115866.135,25706.670497614992,396881784,20,2026-04-14T06:57:38.946457+00:00
mobileclip,mobileclip_s2,NPU,qcs6490,2517.1617819578387,1478.726111544529,1485.7322374882642,1573.699508048594,1582.9503959883004,1.0,1350.7265625,1,115866.135,171334.27926824344,396881784,20,2026-04-14T06:58:34.322715+00:00
